,gdp
1979-09-30,2667.565
1979-12-31,2723.883
1980-03-31,2789.842
1980-06-30,2797.352
1980-09-30,2856.483
1980-12-31,2985.557
1981-03-31,3124.206
1981-06-30,3162.532
1981-09-30,3260.609
1981-12-31,3280.818
1982-03-31,3274.302
1982-06-30,3331.972
1982-09-30,3366.322
1982-12-31,3402.561
1983-03-31,3473.413
1983-06-30,3578.848
1983-09-30,3689.179
1983-12-31,3794.706
1984-03-31,3908.054
1984-06-30,4009.601
1984-09-30,4084.25
1984-12-31,4148.551
1985-03-31,4230.168
1985-06-30,4294.887
1985-09-30,4386.773
1985-12-31,4444.094
1986-03-31,4507.894
1986-06-30,4545.34
1986-09-30,4607.669
1986-12-31,4657.627
1987-03-31,4722.156
1987-06-30,4806.16
1987-09-30,4884.555
1987-12-31,5007.994
1988-03-31,5073.372
1988-06-30,5190.036
1988-09-30,5282.835
1988-12-31,5399.509
1989-03-31,5511.253
1989-06-30,5612.463
1989-09-30,5695.365
1989-12-31,5747.237
1990-03-31,5872.701
1990-06-30,5960.028
1990-09-30,6015.116
1990-12-31,6004.733
1991-03-31,6035.178
1991-06-30,6126.862
1991-09-30,6205.937
1991-12-31,6264.54
1992-03-31,6363.102
1992-06-30,6470.763
1992-09-30,6566.641
1992-12-31,6680.803
1993-03-31,6729.459
1993-06-30,6808.939
1993-09-30,6882.098
1993-12-31,7013.738
1994-03-31,7115.652
1994-06-30,7246.931
1994-09-30,7331.075
1994-12-31,7455.288
1995-03-31,7522.289
1995-06-30,7580.997
1995-09-30,7683.125
1995-12-31,7772.586
1996-03-31,7868.468
1996-06-30,8032.84
1996-09-30,8131.408
1996-12-31,8259.771
1997-03-31,8362.655
1997-06-30,8518.825
1997-09-30,8662.823
1997-12-31,8765.907
1998-03-31,8866.48
1998-06-30,8969.699
1998-09-30,9121.097
1998-12-31,9293.991
1999-03-31,9417.264
1999-06-30,9524.152
1999-09-30,9681.856
1999-12-31,9899.378
2000-03-31,10002.857
2000-06-30,10247.679
2000-09-30,10319.825
2000-12-31,10439.025
2001-03-31,10472.879
2001-06-30,10597.822
2001-09-30,10596.294
2001-12-31,10660.294
2002-03-31,10788.952
2002-06-30,10893.207
2002-09-30,10992.051
2002-12-31,11071.463
2003-03-31,11183.507
2003-06-30,11312.875
2003-09-30,11567.326
2003-12-31,11769.275
2004-03-31,11920.169
2004-06-30,12108.987
2004-09-30,12303.34
2004-12-31,12522.425
2005-03-31,12761.337
2005-06-30,12910.022
2005-09-30,13142.873
2005-12-31,13332.316
2006-03-31,13603.933
2006-06-30,13749.806
2006-09-30,13867.469
2006-12-31,14037.228
2007-03-31,14208.569
2007-06-30,14382.363
2007-09-30,14535.003
2007-12-31,14681.501
2008-03-31,14651.039
2008-06-30,14805.611
2008-09-30,14835.187
2008-12-31,14559.543
2009-03-31,14394.547
2009-06-30,14352.85
2009-09-30,14420.312
2009-12-31,14628.021
2010-03-31,14721.35
2010-06-30,14926.098
2010-09-30,15079.917
2010-12-31,15240.843
2011-03-31,15285.828
2011-06-30,15496.189
2011-09-30,15591.85
2011-12-31,15796.46
2012-03-31,16019.758
2012-06-30,16152.257
2012-09-30,16257.151
2012-12-31,16358.863
2013-03-31,16569.591
2013-06-30,16637.926
2013-09-30,16848.748
2013-12-31,17083.137
2014-03-31,17104.555
2014-06-30,17432.909
2014-09-30,17721.657
2014-12-31,17849.912
2015-03-31,18003.399
2015-06-30,18223.577
2015-09-30,18347.425
2015-12-31,18378.803
2016-03-31,18470.156
2016-06-30,18656.207
2016-09-30,18821.359
2016-12-31,19032.58
2017-03-31,19237.435
2017-06-30,19379.232
2017-09-30,19617.288
2017-12-31,19937.963
2018-03-31,20242.215
2018-06-30,20552.653
2018-09-30,20742.723
2018-12-31,20909.853
2019-03-31,21115.309
2019-06-30,21329.877
2019-09-30,21540.325
2019-12-31,21747.394
2020-03-31,21561.139
2020-06-30,19520.114
2020-09-30,21170.252
